"search-number","evaluation","evals-requested-so-far","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","avoid_seed_control?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","31","180","1000","1","""HK""","0.14","false","true","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","50","0.8","0.2","""normal""","-0.19999999999999996","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.6000000000000001","0.2","2","0.6000000000000001","true","true","""-1355958230""","0.8839045697127638","0.8839045697127638","0.8839045697127638","0","0.8839045697127638"
"1","32","180","1000","1","""HK""","0.14","false","true","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","50","0.8","0.2","""normal""","-0.19999999999999996","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.6000000000000001","0.2","2","0.6000000000000001","true","true","""1540670529""","0.9098465856389008","0.9098465856389008","0.9098465856389008","0","0.9098465856389008"
"1","33","180","1000","1","""HK""","0.14","false","true","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","50","0.8","0.2","""normal""","-0.19999999999999996","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.6000000000000001","0.2","2","0.6000000000000001","true","true","""221452782""","0.9008952726746331","0.9008952726746331","0.9008952726746331","0","0.9008952726746331"
"1","34","180","1000","1","""HK""","0.06999999999999999","false","true","""normal""","1","""constant""","0.5","""Scale-free""","3","0.6000000000000001","-0.5","""uniform""","""deterministic-normal""","20","0.30000000000000004","0.9","""normal""","0.40000000000000013","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","0.5","6","-0.5","false","true","""-2019493153""","0.8361223732941417","0.8361223732941417","0.8361223732941417","0","0.8361223732941417"
"1","35","180","1000","1","""HK""","0.06999999999999999","false","true","""normal""","1","""constant""","0.5","""Scale-free""","3","0.6000000000000001","-0.5","""uniform""","""deterministic-normal""","20","0.30000000000000004","0.9","""normal""","0.40000000000000013","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","0.5","6","-0.5","false","true","""242201111""","0.8388748495222879","0.8388748495222879","0.8388748495222879","0","0.8388748495222879"
"1","36","180","1000","1","""HK""","0.06999999999999999","false","true","""normal""","1","""constant""","0.5","""Scale-free""","3","0.6000000000000001","-0.5","""uniform""","""deterministic-normal""","20","0.30000000000000004","0.9","""normal""","0.40000000000000013","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","0.5","6","-0.5","false","true","""693014454""","0.8310159682566629","0.8310159682566629","0.8310159682566629","0","0.8310159682566629"
"1","37","180","1000","1","""HK""","0.12","false","true","""normal""","1","""constant""","0.2","""Scale-free""","3","0.20000000000000018","0.30000000000000004","""uniform""","""deterministic-normal""","45","0.10000000000000009","0.2","""normal""","0.9000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.8","0.2","4","-0.29999999999999993","false","true","""-1463793236""","0.8241546158948703","0.8241546158948703","0.8241546158948703","0","0.8241546158948703"
"1","38","180","1000","1","""HK""","0.12","false","true","""normal""","1","""constant""","0.2","""Scale-free""","3","0.20000000000000018","0.30000000000000004","""uniform""","""deterministic-normal""","45","0.10000000000000009","0.2","""normal""","0.9000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.8","0.2","4","-0.29999999999999993","false","true","""631822778""","0.8268322739341336","0.8268322739341336","0.8268322739341336","0","0.8268322739341336"
"1","39","180","1000","1","""HK""","0.12","false","true","""normal""","1","""constant""","0.2","""Scale-free""","3","0.20000000000000018","0.30000000000000004","""uniform""","""deterministic-normal""","45","0.10000000000000009","0.2","""normal""","0.9000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.8","0.2","4","-0.29999999999999993","false","true","""-306480229""","0.8275489841687619","0.8275489841687619","0.8275489841687619","0","0.8275489841687619"
"1","40","180","1000","1","""HK""","0.23","false","true","""normal""","1","""constant""","0.4","""Scale-free""","4","0.5","1","""uniform""","""deterministic-normal""","15","-0.09999999999999998","0.9","""normal""","0","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.5","0.6000000000000001","9","-0.8","false","false","""-1465885671""","0.8496180489472663","0.8496180489472663","0.8496180489472663","0","0.8496180489472663"
"1","41","180","1000","1","""HK""","0.23","false","true","""normal""","1","""constant""","0.4","""Scale-free""","4","0.5","1","""uniform""","""deterministic-normal""","15","-0.09999999999999998","0.9","""normal""","0","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.5","0.6000000000000001","9","-0.8","false","false","""-311161752""","0.8492493376987803","0.8492493376987803","0.8492493376987803","0","0.8492493376987803"
"1","42","180","1000","1","""HK""","0.23","false","true","""normal""","1","""constant""","0.4","""Scale-free""","4","0.5","1","""uniform""","""deterministic-normal""","15","-0.09999999999999998","0.9","""normal""","0","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.5","0.6000000000000001","9","-0.8","false","false","""-169595994""","0.8445172198372157","0.8445172198372157","0.8445172198372157","0","0.8445172198372157"
"1","43","180","1000","1","""HK""","0.17","false","true","""normal""","1","""constant""","0","""Scale-free""","2","-0.19999999999999996","-1","""uniform""","""deterministic-normal""","40","0.9000000000000001","0.5","""normal""","-0.29999999999999993","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.8","0.8","1","0.9000000000000001","true","true","""1610801257""","0.6189198409319291","0.6189198409319291","0.6189198409319291","0","0.6189198409319291"
"1","44","180","1000","1","""HK""","0.17","false","true","""normal""","1","""constant""","0","""Scale-free""","2","-0.19999999999999996","-1","""uniform""","""deterministic-normal""","40","0.9000000000000001","0.5","""normal""","-0.29999999999999993","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.8","0.8","1","0.9000000000000001","true","true","""-1403235477""","0.614803848331027","0.614803848331027","0.614803848331027","0","0.614803848331027"
"1","45","180","1000","1","""HK""","0.17","false","true","""normal""","1","""constant""","0","""Scale-free""","2","-0.19999999999999996","-1","""uniform""","""deterministic-normal""","40","0.9000000000000001","0.5","""normal""","-0.29999999999999993","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.8","0.8","1","0.9000000000000001","true","true","""704912143""","0.6195385923405237","0.6195385923405237","0.6195385923405237","0","0.6195385923405237"
"1","46","180","1000","1","""HK""","0.28","false","true","""normal""","1","""constant""","0.1","""Scale-free""","5","-0.8","-0.09999999999999998","""uniform""","""deterministic-normal""","40","-1","0.6000000000000001","""normal""","-0.09999999999999998","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.7000000000000001","0.9","5","0.20000000000000018","false","false","""1940346427""","0.6191712554058668","0.6191712554058668","0.6191712554058668","0","0.6191712554058668"
"1","47","180","1000","1","""HK""","0.28","false","true","""normal""","1","""constant""","0.1","""Scale-free""","5","-0.8","-0.09999999999999998","""uniform""","""deterministic-normal""","40","-1","0.6000000000000001","""normal""","-0.09999999999999998","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.7000000000000001","0.9","5","0.20000000000000018","false","false","""-1042493406""","0.6275793088003864","0.6275793088003864","0.6275793088003864","0","0.6275793088003864"
"1","48","180","1000","1","""HK""","0.28","false","true","""normal""","1","""constant""","0.1","""Scale-free""","5","-0.8","-0.09999999999999998","""uniform""","""deterministic-normal""","40","-1","0.6000000000000001","""normal""","-0.09999999999999998","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.7000000000000001","0.9","5","0.20000000000000018","false","false","""-499060133""","0.6278448848039404","0.6278448848039404","0.6278448848039404","0","0.6278448848039404"
"1","49","180","1000","1","""HK""","0.23","false","true","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","4","0.8","-0.29999999999999993","""uniform""","""deterministic-normal""","25","1","0.1","""normal""","0.30000000000000004","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.9","0.30000000000000004","8","1","false","false","""1340459205""","0.7248210929128388","0.7248210929128388","0.7248210929128388","0","0.7248210929128388"
