Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD
250,1,129,0.05,64,2,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0
251,1,129,0.05,64,2,0.3,uniform,1,openly-listen,53.1,76.8,1.67,59.4,0.397
252,1,129,0.05,64,2,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0
289,1,129,0.25,4,2,0.1,constant,0.1,openly-listen,12,10.2,54.92,1.1,0.485
290,1,129,0.25,4,2,0.1,constant,0.1,vaguely-speak,12,10.2,54.92,1.1,0.485
291,1,129,0.25,4,2,0.1,constant,0.5,openly-listen,12,10.8,51.52,1.2,0.484
292,1,129,0.25,4,2,0.1,constant,0.5,vaguely-speak,12,10.8,51.52,1.2,0.484
293,1,129,0.25,4,2,0.1,constant,0.9,openly-listen,12,10.7,51.84,1.2,0.485
294,1,129,0.25,4,2,0.1,constant,0.9,vaguely-speak,12,10.7,51.84,1.2,0.485
295,1,129,0.25,4,2,0.1,constant,1,openly-listen,12,10.6,52.83,1.1,0.485
296,1,129,0.25,4,2,0.1,constant,1,vaguely-speak,12,10.6,52.83,1.1,0.485
297,1,129,0.25,4,2,0.1,uniform,0.1,openly-listen,13.8,27.3,12.14,7.5,0.508
298,1,129,0.25,4,2,0.1,uniform,0.1,vaguely-speak,12.8,19.9,21.09,4,0.484
299,1,129,0.25,4,2,0.1,uniform,0.5,openly-listen,12.4,20.7,19.74,4.3,0.501
300,1,129,0.25,4,2,0.1,uniform,0.5,vaguely-speak,12.3,16.2,29.45,2.6,0.483
301,1,129,0.25,4,2,0.1,uniform,0.9,openly-listen,14.2,25.5,13.74,6.6,0.498
302,1,129,0.25,4,2,0.1,uniform,0.9,vaguely-speak,12.3,19.5,21.92,3.8,0.493
303,1,129,0.25,4,2,0.1,uniform,1,openly-listen,13.7,22.7,16.86,5.2,0.478
304,1,129,0.25,4,2,0.1,uniform,1,vaguely-speak,12.2,19.8,21.36,3.9,0.496
305,1,129,0.25,4,2,0.2,constant,0.1,openly-listen,38.4,53.3,3.43,28.6,0.567
306,1,129,0.25,4,2,0.2,constant,0.1,vaguely-speak,38.4,53.3,3.43,28.6,0.567
307,1,129,0.25,4,2,0.2,constant,0.5,openly-listen,71.6,87.2,1.3,76.7,0.47
308,1,129,0.25,4,2,0.2,constant,0.5,vaguely-speak,71.6,87.2,1.3,76.7,0.47
309,1,129,0.25,4,2,0.2,constant,0.9,openly-listen,70.1,87.2,1.3,76.7,0.488
310,1,129,0.25,4,2,0.2,constant,0.9,vaguely-speak,70.1,87.2,1.3,76.7,0.488
311,1,129,0.25,4,2,0.2,constant,1,openly-listen,71.2,86.5,1.32,75.3,0.471
312,1,129,0.25,4,2,0.2,constant,1,vaguely-speak,71.2,86.5,1.32,75.3,0.471
313,1,129,0.25,4,2,0.2,uniform,0.1,openly-listen,49.1,76.4,1.69,58.9,0.546
314,1,129,0.25,4,2,0.2,uniform,0.1,vaguely-speak,87.4,95,1.1,90.9,0.332
315,1,129,0.25,4,2,0.2,uniform,0.5,openly-listen,53.4,78.2,1.61,61.7,0.461
316,1,129,0.25,4,2,0.2,uniform,0.5,vaguely-speak,70.2,85.8,1.34,74.2,0.532
317,1,129,0.25,4,2,0.2,uniform,0.9,openly-listen,24.6,41.4,5.58,17.3,0.467
318,1,129,0.25,4,2,0.2,uniform,0.9,vaguely-speak,80,91.9,1.17,85.1,0.429
319,1,129,0.25,4,2,0.2,uniform,1,openly-listen,20.7,30.6,9.88,9.4,0.436
320,1,129,0.25,4,2,0.2,uniform,1,vaguely-speak,77.9,90.3,1.21,82.2,0.464
321,1,129,0.25,4,2,0.3,constant,0.1,openly-listen,92,96.5,1.06,93.9,0.264
322,1,129,0.25,4,2,0.3,constant,0.1,vaguely-speak,92,96.5,1.06,93.9,0.264
323,1,129,0.25,4,2,0.3,constant,0.5,openly-listen,86.2,94.2,1.12,89.4,0.385
324,1,129,0.25,4,2,0.3,constant,0.5,vaguely-speak,86.2,94.2,1.12,89.4,0.385
325,1,129,0.25,4,2,0.3,constant,0.9,openly-listen,89.5,95.7,1.08,92.4,0.31
326,1,129,0.25,4,2,0.3,constant,0.9,vaguely-speak,89.5,95.7,1.08,92.4,0.31
327,1,129,0.25,4,2,0.3,constant,1,openly-listen,89.5,95.7,1.08,92.4,0.283
328,1,129,0.25,4,2,0.3,constant,1,vaguely-speak,89.5,95.7,1.08,92.4,0.283
329,1,129,0.25,4,2,0.3,uniform,0.1,openly-listen,40.2,49,4.04,24.2,0.291
330,1,129,0.25,4,2,0.3,uniform,0.1,vaguely-speak,97.6,98.8,1.02,98.4,0.128
331,1,129,0.25,4,2,0.3,uniform,0.5,openly-listen,35.4,50.5,3.81,25.7,0.355
332,1,129,0.25,4,2,0.3,uniform,0.5,vaguely-speak,97.6,98.8,1.02,98.4,0.119
333,1,129,0.25,4,2,0.3,uniform,0.9,openly-listen,32.2,40.7,5.76,16.7,0.374
334,1,129,0.25,4,2,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0
335,1,129,0.25,4,2,0.3,uniform,1,openly-listen,32,42.6,5.29,18.3,0.358
336,1,129,0.25,4,2,0.3,uniform,1,vaguely-speak,97.6,98.8,1.02,98.4,0.133
373,1,129,0.25,16,2,0.1,constant,0.1,openly-listen,14.8,25.8,13.47,6.7,0.49
374,1,129,0.25,16,2,0.1,constant,0.1,vaguely-speak,14.8,25.8,13.47,6.7,0.49
375,1,129,0.25,16,2,0.1,constant,0.5,openly-listen,17.4,27.4,12.07,7.6,0.495
376,1,129,0.25,16,2,0.1,constant,0.5,vaguely-speak,17.4,27.4,12.07,7.6,0.495
377,1,129,0.25,16,2,0.1,constant,0.9,openly-listen,22.8,39.2,6.19,15.5,0.516
378,1,129,0.25,16,2,0.1,constant,0.9,vaguely-speak,22.8,39.2,6.19,15.5,0.516
379,1,129,0.25,16,2,0.1,constant,1,openly-listen,25.9,41.4,5.59,17.2,0.524
380,1,129,0.25,16,2,0.1,constant,1,vaguely-speak,25.9,41.4,5.59,17.2,0.524
381,1,129,0.25,16,2,0.1,uniform,0.1,openly-listen,36.5,55.9,3.12,31.5,0.545
382,1,129,0.25,16,2,0.1,uniform,0.1,vaguely-speak,29,39.4,6.13,15.6,0.515
383,1,129,0.25,16,2,0.1,uniform,0.5,openly-listen,41.4,57.2,2.98,33,0.685
384,1,129,0.25,16,2,0.1,uniform,0.5,vaguely-speak,40.5,50.3,3.83,25.5,0.554
385,1,129,0.25,16,2,0.1,uniform,0.9,openly-listen,23.1,46,4.57,21.3,0.589
386,1,129,0.25,16,2,0.1,uniform,0.9,vaguely-speak,48.3,53.3,3.43,28.6,0.55
387,1,129,0.25,16,2,0.1,uniform,1,openly-listen,21.6,42.9,5.21,18.5,0.539
388,1,129,0.25,16,2,0.1,uniform,1,vaguely-speak,49.5,53.5,3.41,28.8,0.554
389,1,129,0.25,16,2,0.2,constant,0.1,openly-listen,52.7,55.1,3.21,30.6,0.569
390,1,129,0.25,16,2,0.2,constant,0.1,vaguely-speak,52.7,55.1,3.21,30.6,0.569
391,1,129,0.25,16,2,0.2,constant,0.5,openly-listen,70.4,72.8,1.86,53.4,0.494
392,1,129,0.25,16,2,0.2,constant,0.5,vaguely-speak,70.4,72.8,1.86,53.4,0.494
393,1,129,0.25,16,2,0.2,constant,0.9,openly-listen,94.5,97.3,1.05,95.4,0.217
394,1,129,0.25,16,2,0.2,constant,0.9,vaguely-speak,94.5,97.3,1.05,95.4,0.217
395,1,129,0.25,16,2,0.2,constant,1,openly-listen,79.4,71.1,1.95,50.9,0.448
396,1,129,0.25,16,2,0.2,constant,1,vaguely-speak,79.4,71.1,1.95,50.9,0.448
397,1,129,0.25,16,2,0.2,uniform,0.1,openly-listen,46.8,74,1.8,55.2,0.474
398,1,129,0.25,16,2,0.2,uniform,0.1,vaguely-speak,100,99.6,1,100,0
399,1,129,0.25,16,2,0.2,uniform,0.5,openly-listen,48.9,76.3,1.7,58.7,0.539
400,1,129,0.25,16,2,0.2,uniform,0.5,vaguely-speak,97.6,98.8,1.02,98.4,0.151
401,1,129,0.25,16,2,0.2,uniform,0.9,openly-listen,48,76.9,1.67,59.5,0.495
402,1,129,0.25,16,2,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0
403,1,129,0.25,16,2,0.2,uniform,1,openly-listen,45,74.1,1.8,55.3,0.429
404,1,129,0.25,16,2,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0
405,1,129,0.25,16,2,0.3,constant,0.1,openly-listen,97.6,98.8,1.02,98.4,0.124
406,1,129,0.25,16,2,0.3,constant,0.1,vaguely-speak,97.6,98.8,1.02,98.4,0.124
407,1,129,0.25,16,2,0.3,constant,0.5,openly-listen,95.9,98.1,1.03,96.9,0.188
408,1,129,0.25,16,2,0.3,constant,0.5,vaguely-speak,95.9,98.1,1.03,96.9,0.188
409,1,129,0.25,16,2,0.3,constant,0.9,openly-listen,100,99.6,1,100,0
410,1,129,0.25,16,2,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0
411,1,129,0.25,16,2,0.3,constant,1,openly-listen,100,99.6,1,100,0
412,1,129,0.25,16,2,0.3,constant,1,vaguely-speak,100,99.6,1,100,0
413,1,129,0.25,16,2,0.3,uniform,0.1,openly-listen,39.3,49.2,4,24.4,0.339
414,1,129,0.25,16,2,0.3,uniform,0.1,vaguely-speak,100,99.6,1,100,0
415,1,129,0.25,16,2,0.3,uniform,0.5,openly-listen,41.5,66.5,2.22,44.6,0.429
416,1,129,0.25,16,2,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0
417,1,129,0.25,16,2,0.3,uniform,0.9,openly-listen,44.8,68.8,2.08,47.7,0.39
418,1,129,0.25,16,2,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0
419,1,129,0.25,16,2,0.3,uniform,1,openly-listen,46,71,1.95,50.9,0.394
420,1,129,0.25,16,2,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0
457,1,129,0.25,64,2,0.1,constant,0.1,openly-listen,19.7,28.9,10.93,8.4,0.498
458,1,129,0.25,64,2,0.1,constant,0.1,vaguely-speak,19.7,28.9,10.93,8.4,0.498
459,1,129,0.25,64,2,0.1,constant,0.5,openly-listen,20.8,33.5,8.34,11.3,0.498
460,1,129,0.25,64,2,0.1,constant,0.5,vaguely-speak,20.8,33.5,8.34,11.3,0.498
461,1,129,0.25,64,2,0.1,constant,0.9,openly-listen,25.9,38,6.57,14.5,0.5
462,1,129,0.25,64,2,0.1,constant,0.9,vaguely-speak,25.9,38,6.57,14.5,0.5
463,1,129,0.25,64,2,0.1,constant,1,openly-listen,24.9,35.1,7.62,12.4,0.487
464,1,129,0.25,64,2,0.1,constant,1,vaguely-speak,24.9,35.1,7.62,12.4,0.487
465,1,129,0.25,64,2,0.1,uniform,0.1,openly-listen,42.9,59.9,2.73,36.1,0.577
466,1,129,0.25,64,2,0.1,uniform,0.1,vaguely-speak,39.8,44.7,4.82,20.1,0.541
467,1,129,0.25,64,2,0.1,uniform,0.5,openly-listen,30,51.5,3.66,26.8,0.581
468,1,129,0.25,64,2,0.1,uniform,0.5,vaguely-speak,65,58.6,2.85,34.6,0.531
469,1,129,0.25,64,2,0.1,uniform,0.9,openly-listen,33.9,45.1,4.74,20.5,0.529
470,1,129,0.25,64,2,0.1,uniform,0.9,vaguely-speak,49.5,52.6,3.51,27.9,0.511
471,1,129,0.25,64,2,0.1,uniform,1,openly-listen,30.9,49.2,4,24.4,0.56
472,1,129,0.25,64,2,0.1,uniform,1,vaguely-speak,60.5,56.7,3.04,32.4,0.533
473,1,129,0.25,64,2,0.2,constant,0.1,openly-listen,62.9,66.7,2.21,44.9,0.537
474,1,129,0.25,64,2,0.2,constant,0.1,vaguely-speak,62.9,66.7,2.21,44.9,0.537
475,1,129,0.25,64,2,0.2,constant,0.5,openly-listen,79.4,70.5,1.98,50.1,0.393
476,1,129,0.25,64,2,0.2,constant,0.5,vaguely-speak,79.4,70.5,1.98,50.1,0.393
477,1,129,0.25,64,2,0.2,constant,0.9,openly-listen,100,99.6,1,100,0
478,1,129,0.25,64,2,0.2,constant,0.9,vaguely-speak,100,99.6,1,100,0
479,1,129,0.25,64,2,0.2,constant,1,openly-listen,79.4,70.9,1.96,50.7,0.454
480,1,129,0.25,64,2,0.2,constant,1,vaguely-speak,79.4,70.9,1.96,50.7,0.454
481,1,129,0.25,64,2,0.2,uniform,0.1,openly-listen,59.2,81.2,1.5,66.5,0.52
482,1,129,0.25,64,2,0.2,uniform,0.1,vaguely-speak,97.6,98.8,1.02,98.4,0.146
483,1,129,0.25,64,2,0.2,uniform,0.5,openly-listen,54,80.3,1.53,65,0.46
484,1,129,0.25,64,2,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0
485,1,129,0.25,64,2,0.2,uniform,0.9,openly-listen,51.5,77.3,1.65,60.3,0.457
486,1,129,0.25,64,2,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0
487,1,129,0.25,64,2,0.2,uniform,1,openly-listen,49.5,74.5,1.77,56,0.427
