Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD,DI
445,1,129,0.25,64,1,0.3,constant,0.5,openly-listen,100,99.6,1,100,0,0
446,1,129,0.25,64,1,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0,0
447,1,129,0.25,64,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
448,1,129,0.25,64,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
449,1,129,0.25,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0,0
450,1,129,0.25,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0,0
451,1,129,0.25,64,1,0.3,uniform,0.5,openly-listen,81.4,92.7,1.15,86.6,0.208,4.295
452,1,129,0.25,64,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
453,1,129,0.25,64,1,0.3,uniform,0.9,openly-listen,79.6,91.9,1.17,85.2,0.138,2.821
454,1,129,0.25,64,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
455,1,129,0.25,64,1,0.3,uniform,1,openly-listen,80.1,91.2,1.19,83.8,0.146,3.14
456,1,129,0.25,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0
505,1,257,0.05,4,1,0.1,constant,0.5,openly-listen,7.8,32.6,9.08,10.7,0.458,32.346
506,1,257,0.05,4,1,0.1,constant,0.5,vaguely-speak,7.8,32.6,9.08,10.7,0.458,32.346
507,1,257,0.05,4,1,0.1,constant,0.9,openly-listen,9,36,7.5,13,0.457,31.783
508,1,257,0.05,4,1,0.1,constant,0.9,vaguely-speak,9,36,7.5,13,0.457,31.783
509,1,257,0.05,4,1,0.1,constant,1,openly-listen,8.5,35.5,7.68,12.7,0.455,31.817
510,1,257,0.05,4,1,0.1,constant,1,vaguely-speak,8.5,35.5,7.68,12.7,0.455,31.817
511,1,257,0.05,4,1,0.1,uniform,0.5,openly-listen,34.2,68.1,2.14,46.5,0.56,26.489
512,1,257,0.05,4,1,0.1,uniform,0.5,vaguely-speak,11.7,45.1,4.83,20.4,0.504,31.804
513,1,257,0.05,4,1,0.1,uniform,0.9,openly-listen,25.4,57.9,2.95,33.7,0.517,27.942
514,1,257,0.05,4,1,0.1,uniform,0.9,vaguely-speak,13.5,45.1,4.82,20.4,0.482,31.791
515,1,257,0.05,4,1,0.1,uniform,1,openly-listen,10.9,44.8,4.9,20.1,0.495,31.537
516,1,257,0.05,4,1,0.1,uniform,1,vaguely-speak,10.9,40.3,6.01,16.3,0.453,30.941
517,1,257,0.05,4,1,0.2,constant,0.5,openly-listen,62.6,84.6,1.39,71.9,0.362,10.744
518,1,257,0.05,4,1,0.2,constant,0.5,vaguely-speak,62.6,84.6,1.39,71.9,0.362,10.744
519,1,257,0.05,4,1,0.2,constant,0.9,openly-listen,58.4,78,1.63,61.1,0.367,13.573
520,1,257,0.05,4,1,0.2,constant,0.9,vaguely-speak,58.4,78,1.63,61.1,0.367,13.573
521,1,257,0.05,4,1,0.2,constant,1,openly-listen,64.3,84.6,1.39,71.9,0.37,11.39
522,1,257,0.05,4,1,0.2,constant,1,vaguely-speak,64.3,84.6,1.39,71.9,0.37,11.39
523,1,257,0.05,4,1,0.2,uniform,0.5,openly-listen,63.1,79.5,1.57,63.4,0.195,5.98
524,1,257,0.05,4,1,0.2,uniform,0.5,vaguely-speak,85.2,93.7,1.13,88.2,0.282,5.13
525,1,257,0.05,4,1,0.2,uniform,0.9,openly-listen,22.6,49,4.1,24.1,0.344,20.487
526,1,257,0.05,4,1,0.2,uniform,0.9,vaguely-speak,90.8,96.7,1.06,93.9,0.22,2.841
527,1,257,0.05,4,1,0.2,uniform,1,openly-listen,21.3,40.6,5.92,16.6,0.309,20.384
528,1,257,0.05,4,1,0.2,uniform,1,vaguely-speak,83.5,93.7,1.14,88.1,0.258,4.952
529,1,257,0.05,4,1,0.3,constant,0.5,openly-listen,97,99,1.02,98.4,0.114,0.71
530,1,257,0.05,4,1,0.3,constant,0.5,vaguely-speak,97,99,1.02,98.4,0.114,0.71
