random-seed,20
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.1
boundary-sd,0.1
boundary-distribution,normal
SPIRO-mean,0.85
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
1,35,[0.27244],[0.27180000000000004],0.017,0.2,0.85,211
1,89,[-0.7928000000000001],[-0.796],0.028,0.2,0.85,212
1,49,[-0.65456],[-0.6262],0.144,0.2,0.85,212
1,84,[0.21728000000000003],[0.22460000000000002],0.212,0.2,0.85,211
1,29,[-0.66428],[-0.6386],0.146,0.2,0.85,212
1,70,[0.40127999999999997],[0.40859999999999996],0.047,0.2,0.85,211
1,37,[0.91964],[0.9318],0.088,0.2,0.85,209
1,26,[0.7049199999999999],[0.7063999999999999],0.128,0.2,0.85,209
1,44,[0.7337199999999999],[0.7373999999999999],0.057,0.2,0.85,209
1,97,[0.24064000000000002],[0.2538],0.15,0.2,0.85,211
1,64,[0.06292],[0.0504],0.091,0.2,0.85,211
1,20,[0.17852],[0.1784],0.038,0.2,0.85,211
1,61,[0.12832],[0.1134],0.299,0.2,0.85,211
1,60,[-0.75712],[-0.7584],0.065,0.2,0.85,212
1,0,[-0.88204],[-0.8988],0.118,0.2,0.85,212
1,5,[0.36951999999999996],[0.39239999999999997],0.11,0.2,0.85,211
1,72,[0.3036],[0.33099999999999996],0.182,0.2,0.85,211
1,54,[0.11599999999999999],[0.103],0.14,0.2,0.85,211
1,24,[-0.43492000000000003],[-0.4434],0.102,0.2,0.85,210
1,6,[0.70364],[0.7078],0.111,0.2,0.85,209
1,21,[-0.18868000000000001],[-0.1716],0.111,0.2,0.85,210
1,42,[0.60836],[0.6042],0.076,0.2,0.85,209
1,63,[-0.2572],[-0.238],0.28,0.2,0.85,210
1,22,[0.014080000000000002],[0.0026000000000000007],0.082,0.2,0.85,211
1,88,[0.0474],[0.047],0.003,0.2,0.85,211
1,83,[-0.229],[-0.229],0.002,0.2,0.85,210
1,94,[0.719],[0.724],0.245,0.2,0.85,209
1,3,[0.8681200000000001],[0.8934000000000001],0.15,0.2,0.85,209
1,79,[0.17796],[0.1782],0.017,0.2,0.85,211
1,56,[-0.7202],[-0.704],0.141,0.2,0.85,212
1,66,[-0.8768400000000001],[-0.8998],0.26,0.2,0.85,212
1,32,[-0.35844],[-0.3618],0.111,0.2,0.85,210
1,52,[-0.23928000000000002],[-0.2156],0.204,0.2,0.85,210
1,19,[-0.6868000000000001],[-0.676],0.089,0.2,0.85,212
1,25,[0.28572],[0.2884],0.018,0.2,0.85,211
1,30,[-0.44872],[-0.4514],0.062,0.2,0.85,210
2,35,[0.272152],[0.27244],0.017,0.2,0.85,216
2,83,[-0.229],[-0.229],0.002,0.2,0.85,213
2,37,[0.907312],[0.91964],0.088,0.2,0.85,215
2,32,[-0.355552],[-0.35844],0.111,0.2,0.85,213
