"search-number","evaluation","evals-requested-so-far","n-agents*","opinions*","model*","set-seed?*","avoid_seed_control?*","conformity-level*","conformity-std*","conformity-drawn*","boundary*","boundary-std*","boundary-drawn*","mean-opinion-sigmoid-steepness*","std-opinion-sigmoid-steepness*","opinion_sigmoid?*","id_threshold*","id_threshold-std*","threshold_drawn*","mean-identity-sigmoid-xoffset*","std-identity-sigmoid-xoffset*","mean-identity-sigmoid-steepness*","std-identity-sigmoid-steepness*","identity_sigmoid?*","use_identity?*","identity_type*","identity_levels*","min_id_level*","max_id_level*","maxsteepness*","updating*","record-length*","max-ticks*","centroids_change*","centroid_color?*","killing_centroids?*","polarisation-each-n-steps*","polar_repeats*","d_threshold*","esbg_furthest_out*","normalize_distances?*","show_dice_rolls?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"42","32","35","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.683","""normal""","0.913","0","true","0.347","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""416493431""","0.019","0.019","0.019","0","0.019"
"42","33","35","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.683","""normal""","0.913","0","true","0.347","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1504075296""","0.003","0.003","0.003","0","0.003"
"42","34","35","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.683","""normal""","0.913","0","true","0.347","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1153719427""","0.002","0.002","0.002","0","0.002"
"42","35","35","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.683","""normal""","0.913","0","true","0.347","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1907674167""","0.001","0.001","0.001","0","0.001"
"42","36","40","129","2","""HK""","false","true","0.778","0.667","""normal""","0.501","0.714","""normal""","0.846","0","true","0.338","0.583","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-2050672713""","0.001","0.001","0.001","0","0.001"
"42","37","40","129","2","""HK""","false","true","0.778","0.667","""normal""","0.501","0.714","""normal""","0.846","0","true","0.338","0.583","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1437650836""","0.032","0.032","0.032","0","0.032"
"42","38","40","129","2","""HK""","false","true","0.778","0.667","""normal""","0.501","0.714","""normal""","0.846","0","true","0.338","0.583","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-221558474""","0.043","0.043","0.043","0","0.043"
"42","39","40","129","2","""HK""","false","true","0.778","0.667","""normal""","0.501","0.714","""normal""","0.846","0","true","0.338","0.583","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1552313330""","0.003","0.003","0.003","0","0.003"
"42","40","40","129","2","""HK""","false","true","0.778","0.667","""normal""","0.501","0.714","""normal""","0.846","0","true","0.338","0.583","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""649267430""","0.012","0.012","0.012","0","0.012"
"42","41","45","129","2","""HK""","false","true","015","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-545435248""","0.029","0.029","0.029","0","0.029"
"32","42","45","129","2","""HK""","false","true","0.155","0.099","""normal""","0.243","0.15","""normal""","0.704","0.5660000000000001","true","0.2","0.562","""normal""","0.355","0.662","0.406","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-222699195""","0.014","0.014","0.014","0","0.014"
"32","43","45","129","2","""HK""","false","true","0.155","0.099","""normal""","0.243","0.15","""normal""","0.704","0.5660000000000001","true","0.2","0.562","""normal""","0.355","0.662","0.406","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1628804157""","0.01","0.01","0.01","0","0.01"
"32","44","45","129","2","""HK""","false","true","0.155","0.099","""normal""","0.243","0.15","""normal""","0.704","0.5660000000000001","true","0.2","0.562","""normal""","0.355","0.662","0.406","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1311515654""","0.021","0.021","0.021","0","0.021"
"32","45","45","129","2","""HK""","false","true","0.155","0.099","""normal""","0.243","0.15","""normal""","0.704","0.5660000000000001","true","0.2","0.562","""normal""","0.355","0.662","0.406","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1921303532""","0.012","0.012","0.012","0","0.012"
"32","46","50","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-599134897""","0.025","0.025","0.025","0","0.025"
"32","47","50","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1062598430""","0.064","0.064","0.064","0","0.064"
"32","48","50","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1608137209""","0.019","0.019","0.019","0","0.019"
"32","49","50","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1837187189""","0.053","0.053","0.053","0","0.053"
"32","50","50","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1896672438""","0.065","0.065","0.065","0","0.065"
"32","51","55","129","2","""HK""","false","true","0.155","0.113","""normal""","0.326","0.258","""normal""","0.531","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1746736837""","0.014","0.014","0.014","0","0.014"
"32","52","55","129","2","""HK""","false","true","0.155","0.113","""normal""","0.326","0.258","""normal""","0.531","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1533408235""","0.005","0.005","0.005","0","0.005"
"32","53","55","129","2","""HK""","false","true","0.155","0.113","""normal""","0.326","0.258","""normal""","0.531","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-947275538""","0.033","0.033","0.033","0","0.033"
"32","54","55","129","2","""HK""","false","true","0.155","0.113","""normal""","0.326","0.258","""normal""","0.531","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1796101477""","0.005","0.005","0.005","0","0.005"
"32","55","55","129","2","""HK""","false","true","0.155","0.113","""normal""","0.326","0.258","""normal""","0.531","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-265498169""","0.028","0.028","0.028","0","0.028"
"32","56","60","129","2","""HK""","false","true","0.262","0.08600000000000001","""normal""","0.243","0.111","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.421","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""641670828""","0.014","0.014","0.014","0","0.014"
"32","57","60","129","2","""HK""","false","true","0.262","0.08600000000000001","""normal""","0.243","0.111","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.421","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1642100395""","0.009","0.009","0.009","0","0.009"
"32","58","60","129","2","""HK""","false","true","0.262","0.08600000000000001","""normal""","0.243","0.111","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.421","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1765206609""","0.001","0.001","0.001","0","0.001"
"32","59","60","129","2","""HK""","false","true","0.262","0.08600000000000001","""normal""","0.243","0.111","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.421","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1544555932""","0","0","0","0","0"
