"search-number","evaluation","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","fitness","num-replicates","best-fitness-so-far"
"1","44","100","1","""HK""","0.02","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","30","-1","0.92","""normal""","-0.6","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.2","0.7000000000000001","10","0","true","true","0.4539127570953022","4","0.2283363453947032"
"1","48","100","1","""HK""","0.02","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","45","-1","0.99","""normal""","0.9000000000000001","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.30000000000000004","0.6000000000000001","2","-0.19999999999999996","true","true","0.3886324469214214","4","0.2283363453947032"
"1","52","100","1","""HK""","0.02","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","35","-0.19999999999999996","0.8","""normal""","-0.09999999999999998","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.6000000000000001","0.7000000000000001","9","0.5","true","false","0.48414891635136564","4","0.2283363453947032"
"1","56","100","1","""HK""","0.01","false","""normal""","1","""constant""","0.5","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","40","0.30000000000000004","0.34","""normal""","0.5","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.4","0.4","6","0.10000000000000009","true","false","0.4984460991569993","4","0.2283363453947032"
"1","60","100","1","""HK""","0.43","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","40","-0.09999999999999998","0.41000000000000003","""normal""","1","0.8","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.2","0","8","1","true","true","0.49641871004950283","4","0.2283363453947032"
"1","64","100","1","""HK""","0.43","false","""normal""","1","""constant""","0.4","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","35","0.30000000000000004","0.6","""normal""","0.30000000000000004","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.6000000000000001","0.2","0","-0.5","true","false","0.5095184510641297","4","0.2283363453947032"
"1","68","100","1","""HK""","0.02","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","45","0.30000000000000004","0.22","""normal""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.2","0.6000000000000001","2","-1","true","false","0.5095184510641297","4","0.2283363453947032"
"1","72","100","1","""HK""","0.01","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","50","-1","0.37","""normal""","-0.19999999999999996","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.1","0.9","6","0.10000000000000009","true","true","0.3414737390203317","4","0.2283363453947032"
"1","76","100","1","""HK""","0.01","false","""normal""","1","""constant""","0","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","30","-0.8","0.36","""normal""","-0.19999999999999996","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.30000000000000004","0.1","5","0.5","true","false","0.4479806679397328","4","0.2283363453947032"
"1","80","100","1","""HK""","0.01","false","""normal""","1","""constant""","0.4","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","50","-0.19999999999999996","0.96","""normal""","0.6000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.2","0.9","0","-0.3999999999999999","true","true","0.4766483908830975","4","0.2283363453947032"
"1","84","100","1","""HK""","0.43","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","30","1","0.81","""normal""","0.30000000000000004","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.7000000000000001","0","2","-0.6","true","false","0.7381524161628567","4","0.2283363453947032"
"1","88","100","1","""HK""","0.01","false","""normal""","1","""constant""","0.5","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","40","0","0.45","""normal""","-1","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.8","0.2","0","0.5","true","false","0.49836902985043807","4","0.2283363453947032"
"1","92","100","1","""HK""","0.02","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","45","-0.19999999999999996","0.97","""normal""","0.9000000000000001","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6""","true","0.1","0.7000000000000001","3","0.10000000000000009","true","true","0.4840627009525388","4","0.2283363453947032"
