"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","identity_levels*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"101","343","23","0.35000000000000003","0.374","""uniform""","0.02","""uniform""","""vaguely-speak""","0.44","""uniform""","0.98","""uniform""","""link""","false","true","3","0.9500000000000001","0.47","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.504","7","0.627","0.542"
"101","350","54","0.44","0.268","""uniform""","0.18000000000000002","""uniform""","""openly-listen""","0.59","""uniform""","0.06999999999999999","""uniform""","""link""","false","false","7","0.74","0.5700000000000001","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.486","7","0.627","0.542"
"101","357","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.68","""uniform""","0.4","""uniform""","""link""","false","true","0","0.54","0.54","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.518","7","0.627","0.542"
"102","7","25","0.4","0.593","""uniform""","0.46","""uniform""","""openly-listen""","0.79","""uniform""","0.76","""uniform""","""link""","false","true","6","0.5","0.22","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.14200000000000002","7","0.14200000000000002","0.1085"
"102","14","57","0.13","0.20600000000000002","""uniform""","0.2","""uniform""","""openly-listen""","0.33","""uniform""","0.060000000000000005","""uniform""","""link""","false","true","9","0.16","0.76","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.312","7","0.312","0.318"
"102","21","35","0.25","0.983","""uniform""","0.16","""uniform""","""vaguely-speak""","0.56","""uniform""","0.29000000000000004","""uniform""","""link""","false","false","3","0.9500000000000001","0.22","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.312","0.318"
"102","28","25","0.42","0.755","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.92","""uniform""","0.62","""uniform""","""link""","false","true","0","0.72","0.89","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.081","7","0.312","0.318"
"102","35","32","0.22","0.665","""uniform""","0.39","""uniform""","""vaguely-speak""","1.06","""uniform""","0.24000000000000002","""uniform""","""link""","false","false","6","0.15","0.8099999999999999","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.312","0.318"
"102","42","49","0.05","0.21300000000000002","""uniform""","0.3","""uniform""","""openly-listen""","0.85","""uniform""","0.25","""uniform""","""link""","false","true","7","0.5","0.38","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.15100000000000002","7","0.312","0.318"
"102","49","28","0.48","0.528","""uniform""","0.41000000000000003","""uniform""","""openly-listen""","0.18000000000000002","""uniform""","0.61","""uniform""","""link""","false","false","5","0.52","0.64","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.611","7","0.611","0.5415"
"102","56","40","0.07","0.102","""uniform""","0.49","""uniform""","""openly-listen""","0.09999999999999999","""uniform""","0.39","""uniform""","""link""","false","true","6","0.51","0.76","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.094","7","0.611","0.5415"
"102","63","14","0.11","0.462","""uniform""","0.06999999999999999","""uniform""","""openly-listen""","0.9","""uniform""","0.91","""uniform""","""link""","false","true","10","0.25","0.83","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.498","7","0.611","0.5415"
"102","70","49","0","0.889","""uniform""","0.33","""uniform""","""openly-listen""","0.45","""uniform""","0.89","""uniform""","""link""","false","false","5","0.43","0.16","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.183","7","0.611","0.5415"
"102","77","28","0.36","0.23800000000000002","""uniform""","0.2","""uniform""","""vaguely-speak""","0.63","""uniform""","0.06999999999999999","""uniform""","""link""","false","true","7","0.55","0.14","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.001","7","0.611","0.5415"
"102","84","9","0.2","0.768","""uniform""","0.01","""uniform""","""openly-listen""","0.43","""uniform""","0.9600000000000001","""uniform""","""link""","false","false","3","0.24","0.25","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.512","7","0.611","0.5415"
"102","91","40","0.06","0.763","""uniform""","0.4","""uniform""","""openly-listen""","0.060000000000000005","""uniform""","0.38","""uniform""","""link""","false","false","10","0.52","0.93","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.535","7","0.611","0.5415"
"102","98","41","0.17","0.667","""uniform""","0.42000000000000004","""uniform""","""openly-listen""","0.19","""uniform""","0.64","""uniform""","""link""","false","true","7","0.61","0.21000000000000002","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.138","7","0.611","0.5415"
"102","105","54","0.08","0.303","""uniform""","0.41000000000000003","""uniform""","""vaguely-speak""","0.9400000000000001","""uniform""","0.79","""uniform""","""link""","false","true","6","0.16","0.22","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.611","0.5415"
"102","112","56","0.04","0.66","""uniform""","0.11","""uniform""","""vaguely-speak""","0.27","""uniform""","0.5800000000000001","""uniform""","""link""","false","false","4","0.15","0.48","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.59","7","0.611","0.5415"
"102","119","32","0.42","0.7100000000000001","""uniform""","0.09999999999999999","""uniform""","""vaguely-speak""","0.22","""uniform""","0.91","""uniform""","""link""","false","true","0","0.13","0.72","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.489","7","0.611","0.5415"
"102","126","22","0.22","0.503","""uniform""","0.08","""uniform""","""vaguely-speak""","1.04","""uniform""","0.39","""uniform""","""link""","false","true","6","0.31","0.35","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5469999999999999","7","0.611","0.5415"
"102","133","7","0.26","0.505","""uniform""","0.04","""uniform""","""openly-listen""","0.9","""uniform""","0.68","""uniform""","""link""","false","true","9","0.8","0.41000000000000003","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.517","7","0.611","0.5415"
"102","140","10","0.39","0.21500000000000002","""uniform""","0.14","""uniform""","""vaguely-speak""","0.11","""uniform""","0.43","""uniform""","""link""","false","false","8","0.16","0.14","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.527","7","0.611","0.5415"
"102","147","21","0.49","0.721","""uniform""","0.08","""uniform""","""vaguely-speak""","0.54","""uniform""","0.11","""uniform""","""link""","false","false","4","0","0.83","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.516","7","0.611","0.5415"
"102","154","9","0.2","0.768","""uniform""","0.01","""uniform""","""openly-listen""","0.43","""uniform""","0.9600000000000001","""uniform""","""link""","false","true","7","0.61","0.21000000000000002","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.496","7","0.611","0.5415"
"102","161","41","0.17","0.667","""uniform""","0.42000000000000004","""uniform""","""openly-listen""","0.19","""uniform""","0.64","""uniform""","""link""","false","false","3","0.24","0.25","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.129","7","0.611","0.5415"
"102","168","32","0.35000000000000003","0.7100000000000001","""uniform""","0.09999999999999999","""uniform""","""vaguely-speak""","0.22","""uniform""","0.91","""uniform""","""link""","false","true","0","0.13","0.72","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.518","7","0.611","0.5415"
"102","175","35","0.25","0.983","""uniform""","0.16","""uniform""","""vaguely-speak""","0.56","""uniform""","0.29000000000000004","""uniform""","""link""","false","false","3","0.9500000000000001","0.37","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.672","7","0.672","0.001"
