"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"61","315","44","0.21","0.073","""uniform""","0.09999999999999999","""uniform""","""vaguely-speak""","0.65","""uniform""","0.16","""uniform""","""link""","false","false","4","0.72","0.74","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.558","7","0.692","0.6639999999999999"
"61","322","44","0.21","0.073","""uniform""","0.23","""uniform""","""vaguely-speak""","0.19","""uniform""","0.48000000000000004","""uniform""","""link""","false","true","7","0.9500000000000001","0.8","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.583","7","0.692","0.6639999999999999"
"61","329","53","0.24","0.6950000000000001","""uniform""","0.36000000000000004","""uniform""","""openly-listen""","0.19","""uniform""","0.5700000000000001","""uniform""","""link""","false","true","7","0.9500000000000001","0.8","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5720000000000001","7","0.692","0.6639999999999999"
"62","7","58","0.48","0.429","""uniform""","0.03","""uniform""","""vaguely-speak""","0.61","""uniform""","0.89","""uniform""","""link""","false","true","2","0.74","0.4","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.514","7","0.514","0.5245"
"62","14","33","0.28","0.674","""uniform""","0.32","""uniform""","""openly-listen""","0.24000000000000002","""uniform""","0.37","""uniform""","""link""","false","true","5","0.04","0.83","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.196","7","0.514","0.5245"
"62","21","47","0.28","0.226","""uniform""","0.31","""uniform""","""openly-listen""","0.66","""uniform""","0.12","""uniform""","""link""","false","false","5","0.68","0.72","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.635","7","0.635","0.5810000000000001"
"62","28","5","0.46","0.5640000000000001","""uniform""","0.42000000000000004","""uniform""","""vaguely-speak""","0.45","""uniform""","0.68","""uniform""","""link""","false","true","8","0.74","0.58","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.635","0.5810000000000001"
"62","35","21","0.37","0.47600000000000003","""uniform""","0.43","""uniform""","""openly-listen""","0.73","""uniform""","0.51","""uniform""","""link""","false","true","5","0.66","0.43000000000000005","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.12","7","0.635","0.5810000000000001"
"62","42","25","0.49","0.252","""uniform""","0.12","""uniform""","""vaguely-speak""","1.02","""uniform""","0.51","""uniform""","""link""","false","true","4","0.39","0.67","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.569","7","0.635","0.5810000000000001"
"62","49","8","0.39","0.491","""uniform""","0.15000000000000002","""uniform""","""openly-listen""","0.21000000000000002","""uniform""","0.56","""uniform""","""link""","false","true","4","0.15","0.17","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.21399999999999997","7","0.635","0.5810000000000001"
"62","56","27","0.04","0.928","""uniform""","0.4","""uniform""","""openly-listen""","0.86","""uniform""","0.86","""uniform""","""link""","false","true","4","0.38","0.63","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.532","7","0.635","0.5810000000000001"
"62","63","7","0","0.491","""uniform""","0.04","""uniform""","""vaguely-speak""","1.06","""uniform""","0.5","""uniform""","""link""","false","true","8","0.75","0.66","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.515","7","0.635","0.5810000000000001"
"62","70","19","0.27","0.48100000000000004","""uniform""","0.47000000000000003","""uniform""","""openly-listen""","0.9400000000000001","""uniform""","0.67","""uniform""","""link""","false","true","5","0.68","0.84","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.563","7","0.635","0.5810000000000001"
"62","77","22","0.5","0.168","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","1.05","""uniform""","0.87","""uniform""","""link""","false","true","9","0.02","0.5700000000000001","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.51","7","0.635","0.5810000000000001"
"62","84","36","0.36","0.21200000000000002","""uniform""","0.31","""uniform""","""openly-listen""","0.78","""uniform""","0.77","""uniform""","""link""","false","true","3","0.47000000000000003","0.19","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.149","7","0.635","0.5810000000000001"
"62","91","30","0.49","0.17300000000000001","""uniform""","0.08","""uniform""","""vaguely-speak""","0.56","""uniform""","0.8400000000000001","""uniform""","""link""","false","true","3","0.49","0.83","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.547","7","0.635","0.5810000000000001"
"62","98","27","0.14","0.402","""uniform""","0.45","""uniform""","""openly-listen""","0.36000000000000004","""uniform""","0.15000000000000002","""uniform""","""link""","false","true","8","0.86","0.35","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.097","7","0.635","0.5810000000000001"
"62","105","46","0.37","0.15300000000000002","""uniform""","0.22","""uniform""","""openly-listen""","0.12","""uniform""","0.49","""uniform""","""link""","false","false","2","0.75","0.22","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.19","7","0.635","0.5810000000000001"
"62","112","51","0.38","0.716","""uniform""","0.13","""uniform""","""vaguely-speak""","0.03","""uniform""","0.09","""uniform""","""link""","false","false","6","0.15","0.89","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.496","7","0.635","0.5810000000000001"
"62","119","22","0.49","0.15400000000000003","""uniform""","0.15000000000000002","""uniform""","""openly-listen""","0.23","""uniform""","0.79","""uniform""","""link""","false","false","8","0.43","0.24000000000000002","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.211","7","0.635","0.5810000000000001"
"62","126","2","0.48","0.35200000000000004","""uniform""","0.43","""uniform""","""openly-listen""","0.11","""uniform""","0.8200000000000001","""uniform""","""link""","false","true","3","0.45","0.74","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.079","7","0.635","0.5810000000000001"
"62","133","58","0.24","0.673","""uniform""","0.35000000000000003","""uniform""","""openly-listen""","0.7100000000000001","""uniform""","0.4","""uniform""","""link""","false","false","8","0.9400000000000001","0.83","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.581","7","0.635","0.5810000000000001"
"62","140","12","0.28","0.794","""uniform""","0.42000000000000004","""uniform""","""vaguely-speak""","0.04","""uniform""","0.76","""uniform""","""link""","false","false","5","0.87","0.13","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.003","7","0.635","0.5810000000000001"
"62","147","36","0.4","0.496","""uniform""","0.23","""uniform""","""vaguely-speak""","0.14","""uniform""","0.51","""uniform""","""link""","false","false","7","0.87","0.36","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.635","0.5810000000000001"
"62","154","7","0","0.491","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","1.06","""uniform""","0.5","""uniform""","""link""","false","true","8","0.75","0.66","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.516","7","0.635","0.5810000000000001"
"62","161","30","0.49","0.17300000000000001","""uniform""","0.08","""uniform""","""vaguely-speak""","0.56","""uniform""","0.75","""uniform""","""link""","false","true","3","0.49","0.83","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.54","7","0.635","0.5810000000000001"
"62","168","19","0.27","0.35100000000000003","""uniform""","0.47000000000000003","""uniform""","""openly-listen""","0.9400000000000001","""uniform""","0.67","""uniform""","""link""","false","true","5","0.68","0.84","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.601","7","0.635","0.5810000000000001"
