"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","33","50","0.55","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-966379478""","0.966","0.966","0.966","0","0.966"
"1","34","50","0.55","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-613798279""","1.034","1.034","1.034","0","1.034"
"1","35","50","0.55","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-307363190""","1.007","1.007","1.007","0","1.007"
"1","36","50","0.37","""uniform""","35","0.06","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1572682947""","0.983","0.983","0.983","0","0.983"
"1","37","50","0.37","""uniform""","35","0.06","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1135630847""","1.015","1.015","1.015","0","1.015"
"1","38","50","0.37","""uniform""","35","0.06","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""717599474""","0.974","0.974","0.974","0","0.974"
"1","39","50","0.37","""uniform""","35","0.06","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""512839443""","0.913","0.913","0.913","0","0.913"
"1","40","50","0.37","""uniform""","35","0.06","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1061640911""","1.05","1.05","1.05","0","1.05"
"2","1","25","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1490269882""","0.253","0.253","0.253","0","0.253"
"2","2","25","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-468831698""","0.04","0.04","0.04","0","0.04"
